,precision,recall,f1-score,support
0,0.5595505617977528,0.8245033112582781,0.6666666666666666,604.0
1,0.4444444444444444,0.02909090909090909,0.05460750853242321,275.0
2,0.4110429447852761,0.4987593052109181,0.45067264573991034,403.0
3,0.463768115942029,0.16,0.2379182156133829,200.0
4,0.35,0.4772727272727273,0.40384615384615385,44.0
accuracy,0.4980340760157274,0.4980340760157274,0.4980340760157274,0.4980340760157274
macro avg,0.4457612133939005,0.3979252505665665,0.3627422380797074,1526.0
weighted avg,0.4809925894396703,0.4980340760157274,0.4355554925545047,1526.0
